ID;Reason for absence;Month of absence;Day of the week;Seasons;Transportation expense;Distance from Residence to Work;Service time;Age;Work load Average/day ;Hit target;Disciplinary failure;Education;Son;Social drinker;Social smoker;Pet;Weight;Height;Body mass index;Absenteeism time in hours;Data
33;23;8;5;1;235;11;14;37;205,917;92;0;3;1;0;0;1;88;172;29;4;05/08/2023
34;18;8;2;1;235;29;12;48;205,917;92;0;1;1;0;1;5;88;163;33;8;02/08/2023
35;23;8;2;1;179;51;18;38;205,917;92;0;1;0;1;0;0;89;170;31;2;02/08/2023
36;23;8;2;1;361;52;3;28;205,917;92;0;1;1;1;0;4;80;172;27;1;02/08/2023
37;24;8;3;1;289;36;13;33;205,917;92;0;1;2;1;0;1;90;172;30;8;03/08/2023
38;11;8;5;1;291;50;12;32;205,917;92;0;1;0;1;0;0;65;169;23;4;05/08/2023
39;28;8;6;1;235;29;12;48;205,917;92;0;1;1;0;1;5;88;163;33;8;06/08/2023
40;23;8;6;1;260;50;11;36;205,917;92;0;1;4;1;0;0;65;168;23;4;06/08/2023
41;23;9;3;1;184;42;7;27;241,476;92;0;1;0;0;0;0;58;167;21;2;03/09/2023
42;23;9;2;1;118;10;10;37;241,476;92;0;1;0;0;0;0;83;172;28;4;02/09/2023
43;23;9;3;1;179;51;18;38;241,476;92;0;1;0;1;0;0;89;170;31;4;03/09/2023
44;19;9;3;1;235;20;13;43;241,476;92;0;1;1;1;0;0;106;167;38;8;03/09/2023
45;23;9;4;1;155;12;14;34;241,476;92;0;1;2;1;0;0;95;196;25;2;04/09/2023
46;23;9;2;1;118;10;10;37;241,476;92;0;1;0;0;0;0;83;172;28;3;02/09/2023
47;23;9;3;1;179;51;18;38;241,476;92;0;1;0;1;0;0;89;170;31;3;03/09/2023
48;23;9;5;1;291;31;12;40;241,476;92;0;1;1;1;0;1;73;171;25;4;05/09/2023
49;22;9;6;1;260;50;11;36;241,476;92;0;1;4;1;0;0;65;168;23;8;06/09/2023
50;14;9;2;4;291;31;12;40;241,476;92;0;1;1;1;0;1;73;171;25;32;02/09/2023
51;0;9;2;4;260;50;11;36;241,476;92;1;1;4;1;0;0;65;168;23;0;02/09/2023
52;0;9;2;4;225;26;9;28;241,476;92;1;1;1;0;0;2;69;169;24;0;02/09/2023
53;23;9;3;4;225;26;9;28;241,476;92;0;1;1;0;0;2;69;169;24;2;03/09/2023
54;23;9;3;4;118;10;10;37;241,476;92;0;1;0;0;0;0;83;172;28;2;03/09/2023
55;0;9;3;4;289;36;13;33;241,476;92;1;1;2;1;0;1;90;172;30;0;03/09/2023
56;0;9;3;4;118;13;18;50;241,476;92;1;1;1;1;0;0;98;178;31;0;03/09/2023
57;18;9;4;4;225;26;9;28;241,476;92;0;1;1;0;0;2;69;169;24;3;04/09/2023
58;23;9;4;4;179;51;18;38;241,476;92;0;1;0;1;0;0;89;170;31;3;04/09/2023
59;0;9;4;4;369;17;12;31;241,476;92;1;1;3;1;0;0;70;169;25;0;04/09/2023
60;23;9;6;4;248;25;14;47;241,476;92;0;1;2;0;0;1;86;165;32;1;06/09/2023
61;23;9;6;4;179;51;18;38;241,476;92;0;1;0;1;0;0;89;170;31;3;06/09/2023
62;23;9;6;4;260;50;11;36;241,476;92;0;1;4;1;0;0;65;168;23;4;06/09/2023
63;23;10;3;4;179;51;18;38;253,465;93;0;1;0;1;0;0;89;170;31;3;03/10/2023
64;23;10;3;4;118;10;10;37;253,465;93;0;1;0;0;0;0;83;172;28;3;03/10/2023
65;0;10;4;4;118;13;18;50;253,465;93;1;1;1;1;0;0;98;178;31;0;04/10/2023
66;23;10;5;4;179;26;9;30;253,465;93;0;3;0;0;0;0;56;171;19;1;05/10/2023
67;23;10;6;4;179;51;18;38;253,465;93;0;1;0;1;0;0;89;170;31;3;06/10/2023
68;23;10;6;4;225;26;9;28;253,465;93;0;1;1;0;0;2;69;169;24;3;06/10/2023
69;23;10;3;4;118;10;10;37;253,465;93;0;1;0;0;0;0;83;172;28;3;03/10/2023
70;23;10;4;4;225;26;9;28;253,465;93;0;1;1;0;0;2;69;169;24;2;04/10/2023
71;23;10;4;4;248;25;14;47;253,465;93;0;1;2;0;0;1;86;165;32;2;04/10/2023
72;23;10;5;4;291;31;12;40;253,465;93;0;1;1;1;0;1;73;171;25;5;05/10/2023
73;23;10;4;4;179;51;18;38;253,465;93;0;1;0;1;0;0;89;170;31;8;04/10/2023
74;23;10;4;4;225;26;9;28;253,465;93;0;1;1;0;0;2;69;169;24;3;04/10/2023
75;19;10;5;4;260;50;11;36;253,465;93;0;1;4;1;0;0;65;168;23;16;05/10/2023
76;14;10;3;4;291;31;12;40;253,465;93;0;1;1;1;0;1;73;171;25;8;03/10/2023
77;28;10;3;4;225;26;9;28;253,465;93;0;1;1;0;0;2;69;169;24;2;03/10/2023
78;26;10;4;4;289;36;13;33;253,465;93;0;1;2;1;0;1;90;172;30;8;04/10/2023
79;23;10;6;4;361;52;3;28;253,465;93;0;1;1;1;0;4;80;172;27;1;06/10/2023
80;28;10;6;4;260;50;11;36;253,465;93;0;1;4;1;0;0;65;168;23;3;06/10/2023
81;23;11;5;4;179;51;18;38;306,345;93;0;1;0;1;0;0;89;170;31;1;05/11/2023
82;23;11;4;4;225;26;9;28;306,345;93;0;1;1;0;0;2;69;169;24;1;04/11/2023
83;13;11;5;4;179;51;18;38;306,345;93;0;1;0;1;0;0;89;170;31;8;05/11/2023
84;21;11;5;4;179;22;17;40;306,345;93;0;2;2;0;1;0;63;170;22;8;05/11/2023
85;23;11;5;4;291;31;12;40;306,345;93;0;1;1;1;0;1;73;171;25;5;05/11/2023
86;10;11;2;4;155;12;14;34;306,345;93;0;1;2;1;0;0;95;196;25;32;02/11/2023
87;22;11;2;4;189;29;13;33;306,345;93;0;1;2;0;0;2;69;167;25;8;02/11/2023
88;14;11;2;4;291;31;12;40;306,345;93;0;1;1;1;0;1;73;171;25;40;02/11/2023
89;23;11;4;4;225;26;9;28;306,345;93;0;1;1;0;0;2;69;169;24;1;04/11/2023
90;6;11;6;4;155;12;14;34;306,345;93;0;1;2;1;0;0;95;196;25;8;06/11/2023
91;23;11;4;4;225;26;9;28;306,345;93;0;1;1;0;0;2;69;169;24;3;04/11/2023
92;21;11;4;4;179;22;17;40;306,345;93;0;2;2;0;1;0;63;170;22;8;04/11/2023
93;13;11;6;4;225;26;9;28;306,345;93;0;1;1;0;0;2;69;169;24;3;06/11/2023
94;28;11;6;4;260;50;11;36;306,345;93;0;1;4;1;0;0;65;168;23;4;06/11/2023
95;28;11;2;4;248;25;14;47;306,345;93;0;1;2;0;0;1;86;165;32;1;02/11/2023
96;28;11;3;4;225;26;9;28;306,345;93;0;1;1;0;0;2;69;169;24;3;03/11/2023
97;7;11;4;4;289;36;13;33;306,345;93;0;1;2;1;0;1;90;172;30;24;04/11/2023
98;23;11;5;4;291;31;12;40;306,345;93;0;1;1;1;0;1;73;171;25;3;05/11/2023
99;23;12;3;4;248;25;14;47;261,306;97;0;1;2;0;0;1;86;165;32;1;03/12/2023
100;19;12;3;4;118;10;10;37;261,306;97;0;1;0;0;0;0;83;172;28;64;03/12/2023
101;23;12;4;4;118;13;18;50;261,306;97;0;1;1;1;0;0;98;178;31;2;04/12/2023
102;26;12;4;4;235;11;14;37;261,306;97;0;3;1;0;0;1;88;172;29;8;04/12/2023
103;23;12;5;4;225;26;9;28;261,306;97;0;1;1;0;0;2;69;169;24;2;05/12/2023
104;26;12;6;4;260;50;11;36;261,306;97;0;1;4;1;0;0;65;168;23;8;06/12/2023
105;19;12;3;4;118;10;10;37;261,306;97;0;1;0;0;0;0;83;172;28;56;03/12/2023
106;22;12;4;4;361;52;3;28;261,306;97;0;1;1;1;0;4;80;172;27;8;04/12/2023
107;28;12;5;4;225;26;9;28;261,306;97;0;1;1;0;0;2;69;169;24;3;05/12/2023
108;28;12;6;4;260;50;11;36;261,306;97;0;1;4;1;0;0;65;168;23;3;06/12/2023
109;23;12;3;4;225;26;9;28;261,306;97;0;1;1;0;0;2;69;169;24;2;03/12/2023
110;22;12;4;4;361;52;3;28;261,306;97;0;1;1;1;0;4;80;172;27;8;04/12/2023
111;27;12;6;4;118;10;10;37;261,306;97;0;1;0;0;0;0;83;172;28;2;06/12/2023
112;19;12;6;2;246;25;16;41;261,306;97;0;1;0;1;0;0;67;170;23;8;06/12/2023
113;23;12;6;2;225;26;9;28;261,306;97;0;1;1;0;0;2;69;169;24;2;06/12/2023
114;23;1;4;2;225;26;9;28;308,593;95;0;1;1;0;0;2;69;169;24;1;04/01/2023
115;19;1;2;2;118;10;10;37;308,593;95;0;1;0;0;0;0;83;172;28;1;02/01/2023
116;27;1;3;2;118;10;10;37;308,593;95;0;1;0;0;0;0;83;172;28;1;03/01/2023
117;18;1;3;2;155;12;14;34;308,593;95;0;1;2;1;0;0;95;196;25;8;03/01/2023
118;27;1;4;2;225;26;9;28;308,593;95;0;1;1;0;0;2;69;169;24;2;04/01/2023
119;23;1;5;2;184;42;7;27;308,593;95;0;1;0;0;0;0;58;167;21;2;05/01/2023
120;28;1;5;2;225;26;9;28;308,593;95;0;1;1;0;0;2;69;169;24;2;05/01/2023
121;27;1;6;2;225;26;9;28;308,593;95;0;1;1;0;0;2;69;169;24;1;06/01/2023
122;27;1;2;2;118;10;10;37;308,593;95;0;1;0;0;0;0;83;172;28;2;02/01/2023
123;27;1;3;2;225;26;9;28;308,593;95;0;1;1;0;0;2;69;169;24;2;03/01/2023
124;27;1;3;2;118;10;10;37;308,593;95;0;1;0;0;0;0;83;172;28;2;03/01/2023
125;27;1;4;2;118;10;10;37;308,593;95;0;1;0;0;0;0;83;172;28;2;04/01/2023
126;27;1;5;2;118;10;10;37;308,593;95;0;1;0;0;0;0;83;172;28;2;05/01/2023
127;27;1;6;2;118;10;10;37;308,593;95;0;1;0;0;0;0;83;172;28;2;06/01/2023
128;27;1;2;2;118;10;10;37;308,593;95;0;1;0;0;0;0;83;172;28;2;02/01/2023
129;27;1;3;2;118;10;10;37;308,593;95;0;1;0;0;0;0;83;172;28;2;03/01/2023
130;18;1;3;2;179;26;9;30;308,593;95;0;3;0;0;0;0;56;171;19;8;03/01/2023
131;18;1;3;2;289;36;13;33;308,593;95;0;1;2;1;0;1;90;172;30;8;03/01/2023
132;27;1;4;2;118;10;10;37;308,593;95;0;1;0;0;0;0;83;172;28;2;04/01/2023
133;23;1;5;2;184;42;7;27;308,593;95;0;1;0;0;0;0;58;167;21;2;05/01/2023
134;27;1;5;2;118;10;10;37;308,593;95;0;1;0;0;0;0;83;172;28;2;05/01/2023
135;27;1;2;2;118;10;10;37;308,593;95;0;1;0;0;0;0;83;172;28;0;02/01/2023
136;23;1;3;2;225;26;9;28;308,593;95;0;1;1;0;0;2;69;169;24;1;03/01/2023
137;22;1;5;2;289;36;13;33;308,593;95;0;1;2;1;0;1;90;172;30;3;05/01/2023
138;23;2;6;2;184;42;7;27;302,585;99;0;1;0;0;0;0;58;167;21;1;06/02/2023
139;1;2;4;2;246;25;16;41;302,585;99;0;1;0;1;0;0;67;170;23;8;04/02/2023
140;11;2;4;2;179;51;18;38;302,585;99;0;1;0;1;0;0;89;170;31;8;04/02/2023
141;28;2;5;2;155;12;14;34;302,585;99;0;1;2;1;0;0;95;196;25;2;05/02/2023
142;23;2;5;2;189;29;13;33;302,585;99;0;1;2;0;0;2;69;167;25;8;05/02/2023
143;28;2;6;2;260;50;11;36;302,585;99;0;1;4;1;0;0;65;168;23;2;06/02/2023
144;22;2;6;2;289;36;13;33;302,585;99;0;1;2;1;0;1;90;172;30;8;06/02/2023
145;11;2;2;2;388;15;9;50;302,585;99;0;1;0;0;0;0;76;178;24;8;02/02/2023
146;1;2;3;2;388;15;9;50;302,585;99;0;1;0;0;0;0;76;178;24;8;03/02/2023
147;28;2;2;2;225;26;9;28;302,585;99;0;1;1;0;0;2;69;169;24;2;02/02/2023
148;23;2;3;2;225;26;9;28;302,585;99;0;1;1;0;0;2;69;169;24;2;03/02/2023
149;23;2;3;2;179;26;9;30;302,585;99;0;3;0;0;0;0;56;171;19;1;03/02/2023
150;23;2;3;2;184;42;7;27;302,585;99;0;1;0;0;0;0;58;167;21;8;03/02/2023
151;25;2;5;2;225;26;9;28;302,585;99;0;1;1;0;0;2;69;169;24;3;05/02/2023
152;18;2;2;2;330;16;4;28;302,585;99;0;2;0;0;0;0;84;182;25;8;02/02/2023
153;23;2;3;2;330;16;4;28;302,585;99;0;2;0;0;0;0;84;182;25;1;03/02/2023
154;23;2;4;2;225;26;9;28;302,585;99;0;1;1;0;0;2;69;169;24;1;04/02/2023
155;19;2;5;2;189;29;13;33;302,585;99;0;1;2;0;0;2;69;167;25;8;05/02/2023
156;28;3;3;2;291;50;12;32;343,253;95;0;1;0;1;0;0;65;169;23;2;03/03/2023
157;19;3;3;2;260;50;11;36;343,253;95;0;1;4;1;0;0;65;168;23;8;03/03/2023
158;19;3;3;2;157;27;6;29;343,253;95;0;1;0;1;1;0;75;185;22;3;03/03/2023
159;17;3;3;2;179;22;17;40;343,253;95;0;2;2;0;1;0;63;170;22;8;03/03/2023
160;22;3;4;2;291;31;12;40;343,253;95;0;1;1;1;0;1;73;171;25;8;04/03/2023
161;13;3;4;2;260;50;11;36;343,253;95;0;1;4;1;0;0;65;168;23;8;04/03/2023
162;13;3;5;2;179;26;9;30;343,253;95;0;3;0;0;0;0;56;171;19;8;05/03/2023
163;14;3;6;2;248;25;14;47;343,253;95;0;1;2;0;0;1;86;165;32;3;06/03/2023
164;13;3;6;2;260;50;11;36;343,253;95;0;1;4;1;0;0;65;168;23;40;06/03/2023
165;11;3;2;2;179;22;17;40;343,253;95;0;2;2;0;1;0;63;170;22;40;02/03/2023
166;1;3;2;2;155;12;14;34;343,253;95;0;1;2;1;0;0;95;196;25;16;02/03/2023
167;26;3;2;2;260;50;11;36;343,253;95;0;1;4;1;0;0;65;168;23;16;02/03/2023
168;13;3;3;2;155;12;14;34;343,253;95;0;1;2;1;0;0;95;196;25;8;03/03/2023
169;6;3;5;2;289;36;13;33;343,253;95;0;1;2;1;0;1;90;172;30;8;05/03/2023
170;8;3;5;2;179;22;17;40;343,253;95;0;2;2;0;1;0;63;170;22;8;05/03/2023
171;28;3;6;2;260;50;11;36;343,253;95;0;1;4;1;0;0;65;168;23;4;06/03/2023
172;23;3;6;2;225;26;9;28;343,253;95;0;1;1;0;0;2;69;169;24;1;06/03/2023
173;14;3;2;2;279;5;14;39;343,253;95;0;1;2;1;1;0;68;168;24;8;02/03/2023
174;13;3;3;2;179;51;18;38;343,253;95;0;1;0;1;0;0;89;170;31;24;03/03/2023
175;23;3;4;2;225;26;9;28;343,253;95;0;1;1;0;0;2;69;169;24;2;04/03/2023
176;11;3;2;3;225;26;9;28;343,253;95;0;1;1;0;0;2;69;169;24;8;02/03/2023
177;13;3;2;3;179;26;9;30;343,253;95;0;3;0;0;0;0;56;171;19;1;02/03/2023
178;11;3;3;3;225;26;9;28;343,253;95;0;1;1;0;0;2;69;169;24;8;03/03/2023
179;11;3;4;3;225;26;9;28;343,253;95;0;1;1;0;0;2;69;169;24;16;04/03/2023
180;13;3;4;3;179;51;18;38;343,253;95;0;1;0;1;0;0;89;170;31;3;04/03/2023
181;14;3;5;3;279;5;14;39;343,253;95;0;1;2;1;1;0;68;168;24;16;05/03/2023
182;28;3;6;3;225;26;9;28;343,253;95;0;1;1;0;0;2;69;169;24;2;06/03/2023
183;14;3;6;3;248;25;14;47;343,253;95;0;1;2;0;0;1;86;165;32;3;06/03/2023
184;28;3;2;3;225;26;9;28;343,253;95;0;1;1;0;0;2;69;169;24;1;02/03/2023
185;28;4;4;3;291;31;12;40;326,452;96;0;1;1;1;0;1;73;171;25;1;04/04/2023
186;23;4;4;3;225;26;9;28;326,452;96;0;1;1;0;0;2;69;169;24;1;04/04/2023
187;28;4;3;3;155;12;14;34;326,452;96;0;1;2;1;0;0;95;196;25;1;03/04/2023
188;13;4;4;3;246;25;16;41;326,452;96;0;1;0;1;0;0;67;170;23;24;04/04/2023
189;23;4;5;3;155;12;14;34;326,452;96;0;1;2;1;0;0;95;196;25;1;05/04/2023
190;28;4;6;3;225;26;9;28;326,452;96;0;1;1;0;0;2;69;169;24;2;06/04/2023
191;28;4;6;3;260;50;11;36;326,452;96;0;1;4;1;0;0;65;168;23;4;06/04/2023
192;13;4;4;3;179;51;18;38;326,452;96;0;1;0;1;0;0;89;170;31;24;04/04/2023
193;23;4;5;3;118;13;18;50;326,452;96;0;1;1;1;0;0;98;178;31;1;05/04/2023
194;23;4;6;3;291;31;12;40;326,452;96;0;1;1;1;0;1;73;171;25;3;06/04/2023
195;14;4;6;3;246;25;16;41;326,452;96;0;1;0;1;0;0;67;170;23;8;06/04/2023
196;28;4;6;3;291;31;12;40;326,452;96;0;1;1;1;0;1;73;171;25;1;06/04/2023
197;28;4;6;3;248;25;14;47;326,452;96;0;1;2;0;0;1;86;165;32;8;06/04/2023
198;19;4;6;3;260;50;11;36;326,452;96;0;1;4;1;0;0;65;168;23;56;06/04/2023
199;19;4;3;3;289;36;13;33;326,452;96;0;1;2;1;0;1;90;172;30;8;03/04/2023
200;12;4;4;3;155;12;14;34;326,452;96;0;1;2;1;0;0;95;196;25;24;04/04/2023
201;19;4;4;3;378;49;11;36;326,452;96;0;1;2;0;1;4;65;174;21;8;04/04/2023
202;13;4;5;3;289;36;13;33;326,452;96;0;1;2;1;0;1;90;172;30;16;05/04/2023
203;7;4;6;3;235;11;14;37;326,452;96;0;3;1;0;0;1;88;172;29;3;06/04/2023
204;0;4;2;3;235;29;12;48;326,452;96;1;1;1;0;1;5;88;163;33;0;02/04/2023
205;13;5;4;3;289;36;13;33;378,884;92;0;1;2;1;0;1;90;172;30;8;04/05/2023
206;28;5;5;3;155;12;14;34;378,884;92;0;1;2;1;0;0;95;196;25;2;05/05/2023
207;28;5;2;3;155;12;14;34;378,884;92;0;1;2;1;0;0;95;196;25;1;02/05/2023
208;18;5;3;3;179;51;18;38;378,884;92;0;1;0;1;0;0;89;170;31;8;03/05/2023
209;19;5;3;3;225;26;9;28;378,884;92;0;1;1;0;0;2;69;169;24;8;03/05/2023
210;7;5;4;3;184;42;7;27;378,884;92;0;1;0;0;0;0;58;167;21;4;04/05/2023
211;28;5;2;3;155;12;14;34;378,884;92;0;1;2;1;0;0;95;196;25;2;02/05/2023
212;12;5;3;3;179;51;18;38;378,884;92;0;1;0;1;0;0;89;170;31;1;03/05/2023
213;13;5;4;3;289;36;13;33;378,884;92;0;1;2;1;0;1;90;172;30;24;04/05/2023
214;0;5;4;3;279;5;14;39;378,884;92;1;1;2;1;1;0;68;168;24;0;04/05/2023
215;0;5;4;3;330;16;4;28;378,884;92;1;2;0;0;0;0;84;182;25;0;04/05/2023
216;0;5;4;3;378;49;11;36;378,884;92;1;1;2;0;1;4;65;174;21;0;04/05/2023
217;0;5;4;3;388;15;9;50;378,884;92;1;1;0;0;0;0;76;178;24;0;04/05/2023
218;11;5;3;3;179;51;18;38;378,884;92;0;1;0;1;0;0;89;170;31;1;03/05/2023
219;13;5;4;3;118;13;18;50;378,884;92;0;1;1;1;0;0;98;178;31;24;04/05/2023
220;22;5;6;3;361;52;3;28;378,884;92;0;1;1;1;0;4;80;172;27;8;06/05/2023
221;19;6;2;3;246;25;16;41;377,55;94;0;1;0;1;0;0;67;170;23;8;02/06/2023
222;22;6;2;3;361;52;3;28;377,55;94;0;1;1;1;0;4;80;172;27;8;02/06/2023
223;10;6;3;3;246;25;16;41;377,55;94;0;1;0;1;0;0;67;170;23;24;03/06/2023
224;23;6;5;3;291;31;12;40;377,55;94;0;1;1;1;0;1;73;171;25;4;05/06/2023
225;10;6;6;3;246;25;16;41;377,55;94;0;1;0;1;0;0;67;170;23;8;06/06/2023
226;11;6;2;3;179;51;18;38;377,55;94;0;1;0;1;0;0;89;170;31;8;02/06/2023
227;23;6;2;3;155;12;14;34;377,55;94;0;1;2;1;0;0;95;196;25;4;02/06/2023
228;10;6;2;3;246;25;16;41;377,55;94;0;1;0;1;0;0;67;170;23;8;02/06/2023
229;13;6;4;3;118;13;18;50;377,55;94;0;1;1;1;0;0;98;178;31;8;04/06/2023
230;13;6;6;3;235;11;14;37;377,55;94;0;3;1;0;0;1;88;172;29;16;06/06/2023
231;23;6;3;3;118;13;18;50;377,55;94;0;1;1;1;0;0;98;178;31;1;03/06/2023
232;13;6;4;3;118;13;18;50;377,55;94;0;1;1;1;0;0;98;178;31;80;04/06/2023
233;22;6;5;3;378;49;11;36;377,55;94;0;1;2;0;1;4;65;174;21;8;05/06/2023
234;11;6;6;3;179;51;18;38;377,55;94;0;1;0;1;0;0;89;170;31;2;06/06/2023
235;28;6;2;1;289;48;29;49;377,55;94;0;1;0;0;0;2;108;172;36;2;02/06/2023
236;28;6;5;1;225;26;9;28;377,55;94;0;1;1;0;0;2;69;169;24;2;05/06/2023
237;19;7;3;1;155;12;14;34;275,312;98;0;1;2;1;0;0;95;196;25;16;03/07/2023
238;1;7;4;1;118;13;18;50;275,312;98;0;1;1;1;0;0;98;178;31;8;04/07/2023
239;5;7;6;1;118;10;10;37;275,312;98;0;1;0;0;0;0;83;172;28;8;06/07/2023
240;26;7;6;1;118;10;10;37;275,312;98;0;1;0;0;0;0;83;172;28;4;06/07/2023
241;26;7;3;1;330;16;4;28;275,312;98;0;2;0;0;0;0;84;182;25;8;03/07/2023
242;18;7;5;1;179;26;9;30;275,312;98;0;3;0;0;0;0;56;171;19;8;05/07/2023
243;25;7;6;1;155;12;14;34;275,312;98;0;1;2;1;0;0;95;196;25;2;06/07/2023
244;1;7;2;1;330;16;4;28;275,312;98;0;2;0;0;0;0;84;182;25;8;02/07/2023
245;1;7;3;1;330;16;4;28;275,312;98;0;2;0;0;0;0;84;182;25;8;03/07/2023
246;25;7;2;1;157;27;6;29;275,312;98;0;1;0;1;1;0;75;185;22;3;02/07/2023
247;22;7;3;1;361;52;3;28;275,312;98;0;1;1;1;0;4;80;172;27;8;03/07/2023
248;26;7;4;1;289;36;13;33;275,312;98;0;1;2;1;0;1;90;172;30;8;04/07/2023
249;26;7;5;1;179;51;18;38;275,312;98;0;1;0;1;0;0;89;170;31;8;05/07/2023
250;19;7;2;1;289;36;13;33;275,312;98;0;1;2;1;0;1;90;172;30;32;02/07/2023
251;19;7;5;1;289;36;13;33;275,312;98;0;1;2;1;0;1;90;172;30;8;05/07/2023
252;0;7;5;1;260;50;11;36;275,312;98;1;1;4;1;0;0;65;168;23;0;05/07/2023
253;19;8;6;1;289;36;13;33;265,615;94;0;1;2;1;0;1;90;172;30;8;06/08/2023
254;19;8;6;1;157;27;6;29;265,615;94;0;1;0;1;1;0;75;185;22;3;06/08/2023
255;23;8;2;1;289;36;13;33;265,615;94;0;1;2;1;0;1;90;172;30;1;02/08/2023
256;18;8;3;1;228;14;16;58;265,615;94;0;1;2;0;0;1;65;172;22;8;03/08/2023
257;13;8;5;1;300;26;13;43;265,615;94;0;1;2;1;1;1;77;175;25;1;05/08/2023
258;14;8;5;1;300;26;13;43;265,615;94;0;1;2;1;1;1;77;175;25;2;05/08/2023
259;28;8;6;1;260;50;11;36;265,615;94;0;1;4;1;0;0;65;168;23;4;06/08/2023
260;23;8;3;1;289;36;13;33;265,615;94;0;1;2;1;0;1;90;172;30;4;03/08/2023
261;23;8;4;1;248;25;14;47;265,615;94;0;1;2;0;0;1;86;165;32;1;04/08/2023
262;11;8;5;1;268;11;8;33;265,615;94;0;2;0;0;0;0;79;178;25;8;05/08/2023
263;23;8;5;1;179;26;9;30;265,615;94;0;3;0;0;0;0;56;171;19;1;05/08/2023
264;13;8;5;1;118;13;18;50;265,615;94;0;1;1;1;0;0;98;178;31;3;05/08/2023
265;25;8;2;1;248;25;14;47;265,615;94;0;1;2;0;0;1;86;165;32;2;02/08/2023
266;23;8;3;1;235;11;14;37;265,615;94;0;3;1;0;0;1;88;172;29;1;03/08/2023
267;23;8;5;1;118;13;18;50;265,615;94;0;1;1;1;0;0;98;178;31;1;05/08/2023
268;19;8;5;1;235;11;14;37;265,615;94;0;3;1;0;0;1;88;172;29;8;05/08/2023
269;8;8;3;1;361;52;3;28;265,615;94;0;1;1;1;0;4;80;172;27;8;03/08/2023
